郵便番号,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,事業所名,事業所名カナ,事業所住所,新住所CD,住所,情報,列1
447-8506,愛知県,アイチケン,碧南市,ヘキナンシ,玉津浦町,伊藤忠製糖　株式会社,イトウチユウセイトウ　カブシキガイシヤ,玉津浦町３,,愛知県碧南市玉津浦町,122,122
447-8510,愛知県,アイチケン,碧南市,ヘキナンシ,新川町,医療法人　愛生館　小林記念病院,イリヨウホウジン　アイセイカン　コバヤシキネンビヨウイン,新川町３丁目８８,,愛知県碧南市新川町,123,123
488-8555,愛知県,アイチケン,尾張旭市,オワリアサヒシ,新居,愛知県森林公園協会,アイチケンシンリンコウエンキヨウカイ,新居５１８２－１,,愛知県尾張旭市新居,124,124
488-8688,愛知県,アイチケン,尾張旭市,オワリアサヒシ,旭前町,旭サナック　株式会社,アサヒサナツク　カブシキガイシヤ,旭前町５０５０,,愛知県尾張旭市旭前町,125,125
488-8655,愛知県,アイチケン,尾張旭市,オワリアサヒシ,旭前町新田洞,旭精機工業　株式会社,アサヒセイキコウギヨウ　カブシキガイシヤ,旭前町新田洞５０５０番地の１,,愛知県尾張旭市旭前町新田洞,126,126
475-8505,愛知県,アイチケン,半田市,ハンダシ,出口町,愛知県知多県税事務所,アイチケンチタケンゼイジムシヨ,出口町一丁目３６番地,,愛知県半田市出口町,127,127
475-8501,愛知県,アイチケン,半田市,ハンダシ,出口町,愛知県知多県民センター,アイチケンチタケンミンセンタ－,出口町１丁目３６番地,,愛知県半田市出口町,128,128
470-0195,愛知県,アイチケン,日進市,ニッシンシ,岩崎町,愛知学院大学,アイチガクインダイガク,岩崎町阿良池１２,,愛知県日進市岩崎町,129,129
476-8666,愛知県,アイチケン,東海市,トウカイシ,荒尾町,愛知製鋼　株式会社,アイチセイコウ　カブシキガイシヤ,荒尾町ワノ割１,,愛知県東海市荒尾町,130,130
496-8575,愛知県,アイチケン,津島市,ツシマシ,神守町,（株）　中日総合サービス　津島営業所,（カブ）　チユウニチソウゴウサ－ビス　ツシマエイギヨウシヨ,神守町八反田６５－１,,愛知県津島市神守町,131,131
496-8534,愛知県,アイチケン,津島市,ツシマシ,西柳原町,愛知県　海部教育事務所,アイチケン　アマキヨウイクジムシヨ,西柳原町１丁目１４,,愛知県津島市西柳原町,132,132
496-8532,愛知県,アイチケン,津島市,ツシマシ,西柳原町,愛知県　海部農林水産事務所,アイチケン　アマノウリンスイサンジムシヨ,西柳原町１丁目１４番地,,愛知県津島市西柳原町,133,133
496-8533,愛知県,アイチケン,津島市,ツシマシ,西柳原町,愛知県海部建設事務所,アイチケンアマケンセツジムシヨ,西柳原町１丁目１４番地,,愛知県津島市西柳原町,134,134
496-8531,愛知県,アイチケン,津島市,ツシマシ,西柳原町,愛知県海部県民センター,アイチケンアマケンミンセンタ－,西柳原町１丁目１４,,愛知県津島市西柳原町,135,135
496-8535,愛知県,アイチケン,津島市,ツシマシ,西柳原町,愛知県海部福祉相談センター,アイチケンアマフクシソウダンセンタ－,西柳原町１丁目１４番地,,愛知県津島市西柳原町,136,136
480-1195,愛知県,アイチケン,長久手市,ナガクテシ,岩作雁又,愛知医科大学,アイチイカダイガク,岩作雁又１－１,,愛知県長久手市岩作雁又,137,137
480-1193,愛知県,アイチケン,長久手市,ナガクテシ,岩作三ケ峯,愛知県農業総合試験場,アイチケンノウギヨウソウゴウシケンジヨウ,岩作三ケ峯１－１,,愛知県長久手市岩作三ケ峯,138,138
480-1194,愛知県,アイチケン,長久手市,ナガクテシ,岩作三ケ峯,愛知県立芸術大学,アイチケンリツゲイジユツダイガク,岩作三ケ峯１－１１４,,愛知県長久手市岩作三ケ峯,139,139
480-1198,愛知県,アイチケン,長久手市,ナガクテシ,茨ケ廻間,愛知県立大学,アイチケンリツダイガク,茨ケ廻間１５２２－３,,愛知県長久手市茨ケ廻間,140,140
480-1197,愛知県,アイチケン,長久手市,ナガクテシ,片平,愛知淑徳大学,アイチシユクトクダイガク,片平二丁目９,,愛知県長久手市片平,141,141
472-8555,愛知県,アイチケン,知立市,チリュウシ,弘法町,（宗）　遍照院,（シユウ）　ヘンシヨウイン,弘法町弘法山１９,,愛知県知立市弘法町,142,142
472-8585,愛知県,アイチケン,知立市,チリュウシ,弘法,愛知県立　知立高等学校,アイチケンリツ　チリユウコウトウガツコウ,弘法二丁目５番地８,,愛知県知立市弘法,143,143
472-8639,愛知県,アイチケン,知立市,チリュウシ,長篠町,愛知県立知立東高等学校,アイチケンリツチリユウヒガシコウトウガツコウ,長篠町大山１８－６,,愛知県知立市長篠町,144,144
478-8555,愛知県,アイチケン,知多市,チタシ,南浜町,出光興産　株式会社　愛知製油所,イデミツコウサン　カブシキガイシヤ　アイチセイユシヨ,南浜町１１,,愛知県知多市南浜町,145,145
470-2394,愛知県,アイチケン,知多郡武豊町,チタグンタケトヨチョウ,旭,旭硝子　愛知工場,アサヒガラス　アイチコウジヨウ,旭１,,愛知県知多郡武豊町旭,146,146
470-2197,愛知県,アイチケン,知多郡東浦町,チタグンヒガシウラチョウ,藤江,株式会社　ティラド名古屋製作所,　カブシキガイシヤ　テイラドナゴヤセイサクシヨ,藤江折戸１－７,,愛知県知多郡東浦町藤江,147,147
470-2192,愛知県,アイチケン,知多郡東浦町,チタグンヒガシウラチョウ,緒川,愛知県知多郡東浦町役場,アイチケンチタグンヒガシウラマチヤクバ,緒川政所２０,,愛知県知多郡東浦町緒川,148,148
470-2292,愛知県,アイチケン,知多郡阿久比町,チタグンアグイチョウ,卯坂,阿久比町役場,アグイチヨウヤクバ,卯坂殿越５０,,愛知県知多郡阿久比町卯坂,149,149
480-0198,愛知県,アイチケン,丹羽郡大口町,ニワグンオオグチチョウ,高橋,青山製作所　株式会社,アオヤマセイサクシヨ　カブシキガイシヤ,高橋１丁目８,,愛知県丹羽郡大口町高橋,150,150
474-8557,愛知県,アイチケン,大府市,オオブシ,横根町,（株）　東海理機製作所　横根工場,（カブ）　トウカイリキセイサクシヨ　ヨコネコウジヨウ,横根町惣作７０,,愛知県大府市横根町,151,151
474-8686,愛知県,アイチケン,大府市,オオブシ,長草町,（株）　豊田自動織機製作所　長草工場,（カブ）　トヨタジドウシヨツキセイサクシヨ　ナガクサコウジヨウ,長草町山口９－２,,愛知県大府市長草町,152,152
474-8666,愛知県,アイチケン,大府市,オオブシ,北崎町,（株）　名機製作所,（カブ）　メイキセイサクシヨ,北崎町大根２,,愛知県大府市北崎町,153,153
474-8505,愛知県,アイチケン,大府市,オオブシ,共栄町,愛協産業　株式会社,アイキヨウサンギヨウ　カブシキガイシヤ,共栄町７丁目１－１,,愛知県大府市共栄町,154,154
474-8588,愛知県,アイチケン,大府市,オオブシ,共和町,愛三工業　株式会社,アイサンコウギヨウ　カブシキガイシヤ,共和町１丁目１－１,,愛知県大府市共和町,155,155
474-8580,愛知県,アイチケン,大府市,オオブシ,共栄町,アイサンコンピュータサービス　株式会社,アイサンコンピユ－タサ－ビス　カブシキガイシヤ,共栄町七丁目３－３,,愛知県大府市共栄町,156,156
474-8701,愛知県,アイチケン,大府市,オオブシ,中央町,愛知県大府市役所,アイチケンオオブシヤクシヨ,中央町５丁目７０,,愛知県大府市中央町,157,157
474-8710,愛知県,アイチケン,大府市,オオブシ,森岡町,あいち小児保健医療総合センター,アイチシヨウニホケンイリヨウソウゴウセンタ－,森岡町尾坂田１番２,,愛知県大府市森岡町,158,158
474-8510,愛知県,アイチケン,大府市,オオブシ,北崎町,イヅミ工業　株式会社,イヅミコウギヨウ　カブシキガイシヤ,北崎町清水１－３,,愛知県大府市北崎町,159,159
444-0592,愛知県,アイチケン,西尾市,ニシオシ,吉良町富好新田,（株）　キラ．コーポレーション,（カブ）　キラ コ－ポレ－シヨン,吉良町富好新田中川並３９－１,,愛知県西尾市吉良町富好新田,160,160
444-0595,愛知県,アイチケン,西尾市,ニシオシ,吉良町小山田,朝岡ワールド　株式会社,アサオカワ－ルド　カブシキガイシヤ,吉良町小山田市場３２,,愛知県西尾市吉良町小山田,161,161
444-0381,愛知県,アイチケン,西尾市,ニシオシ,寺津町,旭鉄工　株式会社,アサヒテツコウ　カブシキガイシヤ,寺津町一ノ割１－１,,愛知県西尾市寺津町,162,162
444-0494,愛知県,アイチケン,西尾市,ニシオシ,一色町中外沢,イケダヤ製菓　株式会社,イケダヤセイカ　（カ,一色町中外沢下長割８,,愛知県西尾市一色町中外沢,163,163
444-0496,愛知県,アイチケン,西尾市,ニシオシ,一色町赤羽,一色高校,イツシキコウコウ,一色町赤羽上郷中１４,,愛知県西尾市一色町赤羽,164,164
444-0495,愛知県,アイチケン,西尾市,ニシオシ,一色町赤羽,医療法人　社団福祉会　高須病院,イリヨウホウジン　シヤダンフクシカイ　タカスビヨウイン,一色町赤羽上郷中１１３－１,,愛知県西尾市一色町赤羽,165,165
480-0297,愛知県,アイチケン,西春日井郡豊山町,ニシカスガイグントヨヤマチョウ,豊場,朝日航洋　株式会社　南格納庫,アサヒコウヨウ　カブシキガイシヤ　ミナミカクノウコ,豊場林先１番地１,,愛知県西春日井郡豊山町豊場,166,166
480-0282,愛知県,アイチケン,西春日井郡豊山町,ニシカスガイグントヨヤマチョウ,豊場,アピタ名古屋空港店,アピタナゴヤクウコウテン,豊場林先１番８,,愛知県西春日井郡豊山町豊場,167,167
489-8450,愛知県,アイチケン,瀬戸市,セトシ,仲切町,（株）　尾張東部放送,（カブ）　オワリトウブホウソウ,仲切町２２番地,,愛知県瀬戸市仲切町,168,168
489-8555,愛知県,アイチケン,瀬戸市,セトシ,南山口町,愛知県赤十字血液センター,アイチケンセキジユウジケツエキセンタ－,南山口町５３９－３,,愛知県瀬戸市南山口町,169,169
479-8601,愛知県,アイチケン,常滑市,トコナメシ,多屋,あいち知多　農業協同組合,アイチチタ　ノウギヨウキヨウドウクミアイ,多屋茨廻間１番地１１１,,愛知県常滑市多屋,170,170
479-8586,愛知県,アイチケン,常滑市,トコナメシ,奥栄町,ＩＮＡＸライブミュージアム,イナツクスライブミユ－ジアム,奥栄町１丁目１３０番地,,愛知県常滑市奥栄町,171,171
485-8653,愛知県,アイチケン,小牧市,コマキシ,小牧原,（株）　ダイフク小牧事業所,（カブ）　ダイフクコマキジギヨウシヨ,小牧原４丁目１０３番地,,愛知県小牧市小牧原,172,172
485-8512,愛知県,アイチケン,小牧市,コマキシ,間々原新田,（株）　三河屋,（カブ）　ミカワヤ,間々原新田下新池９８７番地,,愛知県小牧市間々原新田,173,173
485-8555,愛知県,アイチケン,小牧市,コマキシ,林,（株）松本義肢製作所,（カブ）マツモトギシセイサクシヨ,林２１０－３,,愛知県小牧市林,174,174
485-8565,愛知県,アイチケン,小牧市,コマキシ,大草,愛知文教大学,アイチブンキヨウダイガク,大草年上坂５９６９－３,,愛知県小牧市大草,175,175
485-8533,愛知県,アイチケン,小牧市,コマキシ,新小木,愛知陸運　株式会社,アイチリクウン　カブシキガイシヤ,新小木３丁目２０,,愛知県小牧市新小木,176,176
485-8655,愛知県,アイチケン,小牧市,コマキシ,村中,飯田工業　株式会社,イイダコウギヨウ　カブシキガイシヤ,村中前田１５３,,愛知県小牧市村中,177,177
486-8575,愛知県,アイチケン,春日井市,カスガイシ,春日井上ノ町,（株）　中日総合サービス　春日井営業所,（カブ）　チユウニチソウゴウサ－ビス　カスガイエイギヨウシヨ,春日井上ノ町割畑８０－５,,愛知県春日井市春日井上ノ町,178,178
486-8501,愛知県,アイチケン,春日井市,カスガイシ,大手田酉町,愛知金属工業　株式会社,アイチキンゾクコウギヨウ　カブシキガイシヤ,大手田酉町３丁目１３－１８,,愛知県春日井市大手田酉町,179,179
480-0392,愛知県,アイチケン,春日井市,カスガイシ,神屋町,愛知県医療療育総合センター,アイチケンイリヨウリヨウイクソウゴウセンタ－,神屋町７１３－８,,愛知県春日井市神屋町,180,180
486-8515,愛知県,アイチケン,春日井市,カスガイシ,鳥居松町,愛知県東尾張県税事務所,アイチケンヒガシオワリケンゼイジムシヨ,鳥居松町３丁目６５番地,,愛知県春日井市鳥居松町,181,181
486-8666,愛知県,アイチケン,春日井市,カスガイシ,愛知町,愛知電機　株式会社,アイチデンキ　カブシキガイシヤ,愛知町１,,愛知県春日井市愛知町,182,182
444-1398,愛知県,アイチケン,高浜市,タカハマシ,青木町,愛知県　高浜市役所,アイチケン　タカハマシヤクシヨ,青木町四丁目１－２,,愛知県高浜市青木町,183,183
483-8704,愛知県,アイチケン,江南市,コウナンシ,高屋町大松原,愛知県厚生農業協同組合連合会　江南厚生病院,アイチケンコウセイノウギヨウキヨウドウクミアイレンゴウカイ　コウナンコウセイビヨウイン,高屋町大松原１３７番地,,愛知県江南市高屋町大松原,184,184
483-8507,愛知県,アイチケン,江南市,コウナンシ,村久野町瀬頭,アピタ　江南店,アピタ　コウナンテン,村久野町瀬頭１６３,,愛知県江南市村久野町瀬頭,185,185
484-8507,愛知県,アイチケン,犬山市,イヌヤマシ,柿畑,（株）　今仙電機製作所,（カブ）　イマセンデンキセイサクシヨ,柿畑１,,愛知県犬山市柿畑,186,186
484-8609,愛知県,アイチケン,犬山市,イヌヤマシ,松本町,犬山公共職業安定所,イヌヤマコウキヨウシヨクギヨウアンテイシヨ,松本町２丁目１０番地,,愛知県犬山市松本町,187,187
484-8501,愛知県,アイチケン,犬山市,イヌヤマシ,犬山,犬山市役所,イヌヤマシヤクシヨ,犬山東畑３６,,愛知県犬山市犬山,188,188
484-8510,愛知県,アイチケン,犬山市,イヌヤマシ,天神町,犬山商工会議所,イヌヤマシヨウコウカイギシヨ,天神町１丁目８,,愛知県犬山市天神町,189,189
482-8555,愛知県,アイチケン,岩倉市,イワクラシ,北島町,愛知県立　岩倉総合高等学校,アイチケンリツ　イワクラソウゴウコウトウガツコウ,北島町川田１,,愛知県岩倉市北島町,190,190
482-8510,愛知県,アイチケン,岩倉市,イワクラシ,川井町,石塚硝子　株式会社　岩倉工場,イシズカガラス　カブシキカイシヤ　イワクラコウジヨウ,川井町１８８０番地,,愛知県岩倉市川井町,191,191
482-8651,愛知県,アイチケン,岩倉市,イワクラシ,旭町,いちい信用金庫　愛北営業部,イチイシンヨウキンコ　アイホクエイギヨウブ,旭町１丁目２１,,愛知県岩倉市旭町,192,192
448-8605,愛知県,アイチケン,刈谷市,カリヤシ,相生町,アイシン・エンジニアリング　株式会社,アイシン・エンジニアリング　カブシキガイシヤ,相生町１丁目１番地１ＪＲＦ刈谷駅前ビル７階・８階,,愛知県刈谷市相生町,193,193
448-8525,愛知県,アイチケン,刈谷市,カリヤシ,相生町,アイシン開発　株式会社　富士ビル,アイシンカイハツ　カブシキガイシヤ　フジビル,相生町３丁目３番地,,愛知県刈谷市相生町,194,194
448-8650,愛知県,アイチケン,刈谷市,カリヤシ,朝日町,アイシン精機　株式会社,アイシンセイキ　カブシキガイシヤ,朝日町２丁目１,,愛知県刈谷市朝日町,195,195
448-8543,愛知県,アイチケン,刈谷市,カリヤシ,井ケ谷町,愛知教育大学　生活協同組合,アイチキヨウイクダイガク　セイカツキヨウドウクミアイ,井ケ谷町広沢１,,愛知県刈谷市井ケ谷町,196,196
448-8653,愛知県,アイチケン,刈谷市,カリヤシ,半城土町,愛知県立　刈谷東高等学校,アイチケンリツ　カリヤヒガシコウトウガツコウ,半城土町三ツ又２０,,愛知県刈谷市半城土町,197,197
448-8601,愛知県,アイチケン,刈谷市,カリヤシ,一ツ木町,アイリスオーヤマ　株式会社　名古屋営業所,アイリスオ－ヤマ　カブシキガイシヤ　ナゴヤエイギヨウシヨ,一ツ木町東新割５７－７,,愛知県刈谷市一ツ木町,198,198
443-8555,愛知県,アイチケン,蒲郡市,ガマゴオリシ,浜町,アイシン・エイ・ダブリュ　株式会社　蒲郡工場,アイシン・エイ・ダブリユ　カブシキガイシヤ　ガマゴオリコウジヨウ,浜町２４番３,,愛知県蒲郡市浜町,199,199
490-1192,愛知県,アイチケン,海部郡大治町,アマグンオオハルチョウ,馬島,海部郡大治町役場,アマグンオオハルチヨウヤクバ,馬島大門西１－１,,愛知県海部郡大治町馬島,200,200
444-8686,愛知県,アイチケン,岡崎市,オカザキシ,大平町,ＩＰＣ国際ペットカルチャー総合学院,アイピーシーコクサイペツトカルチヤ－ソウゴウガクイン,大平町石亀９６－１,,愛知県岡崎市大平町,201,201
444-8564,愛知県,アイチケン,岡崎市,オカザキシ,岡町,アイシン・エイ・ダブリュ　（株）　岡崎工場,アイシン・エイ・ダブリユ　（カブ）　オカザキコウジヨウ,岡町原山６－１８,,愛知県岡崎市岡町,202,202
444-8520,愛知県,アイチケン,岡崎市,オカザキシ,舳越町,愛知学泉大学,アイチガクセンダイガク,舳越町上川成２８,,愛知県岡崎市舳越町,203,203
444-8612,愛知県,アイチケン,岡崎市,オカザキシ,上明大寺町,愛知県信用保証協会　西三河支店,アイチケンシンヨウホシヨウキヨウカイ　ニシミカワシテン,上明大寺町二丁目１３番地,,愛知県岡崎市上明大寺町,204,204
444-8551,愛知県,アイチケン,岡崎市,オカザキシ,明大寺本町,愛知県西三河事務所,アイチケンニシミカワジムシヨ,明大寺本町１丁目４,,愛知県岡崎市明大寺本町,205,205
444-8555,愛知県,アイチケン,岡崎市,オカザキシ,羽根町,愛知県立岡崎工業高等学校,アイチケンリツオカザキコウギヨウコウトウガツコウ,羽根町陣場４７,,愛知県岡崎市羽根町,206,206
495-8501,愛知県,アイチケン,稲沢市,イナザワシ,祖父江町森上,アイコクアルファ　株式会社,アイコクアルフア　カブシキガイシヤ,祖父江町森上本郷十一４番地１,,愛知県稲沢市祖父江町森上,207,207
492-8528,愛知県,アイチケン,稲沢市,イナザワシ,松下,愛松建設　株式会社,アイシヨウケンセツ　カブシキガイシヤ,松下２丁目３－７,,愛知県稲沢市松下,208,208
492-8529,愛知県,アイチケン,稲沢市,イナザワシ,西町,愛知啓成高等学校,アイチケイセイコウトウガツコウ,西町１丁目１－４１,,愛知県稲沢市西町,209,209
495-8531,愛知県,アイチケン,稲沢市,イナザワシ,祖父江町本甲,愛知県　厚生連　尾西病院,アイチケン　コウセイレン　ビサイビヨウイン,祖父江町本甲拾町野７番地,,愛知県稲沢市祖父江町本甲,210,210
495-8505,愛知県,アイチケン,稲沢市,イナザワシ,祖父江町二俣,愛知県立　杏和高等学校,アイチケンリツ　キヨウワコウトウガツコウ,祖父江町二俣宮西１番地１,,愛知県稲沢市祖父江町二俣,211,211
492-8521,愛知県,アイチケン,稲沢市,イナザワシ,西町,愛知文教女子短期大学,アイチブンキヨウジヨシタンキダイガク,西町１丁目１－４１,,愛知県稲沢市西町,212,212
492-8547,愛知県,アイチケン,稲沢市,イナザワシ,北麻績町,イイダ産業　株式会社,イイダサンギヨウ　カブシキガイシヤ,北麻績町沼１－５,,愛知県稲沢市北麻績町,213,213
495-8511,愛知県,アイチケン,稲沢市,イナザワシ,祖父江町山崎,稲沢市　祖父江支所,イナザワシ　ソブエシシヨ,祖父江町山崎鶴塚２７５番地１,,愛知県稲沢市祖父江町山崎,214,214
490-1392,愛知県,アイチケン,稲沢市,イナザワシ,平和町中三宅,稲沢市　平和支所,イナザワシ　ヘイワシシヨ,平和町中三宅二丁割６０番地,,愛知県稲沢市平和町中三宅,215,215
492-8510,愛知県,アイチケン,稲沢市,イナザワシ,長束町,稲沢市民病院,イナザワシミンビヨウイン,長束町沼１００番地,,愛知県稲沢市長束町,216,216
492-8525,愛知県,アイチケン,稲沢市,イナザワシ,朝府町,稲沢商工会議所,イナザワシヨウコウカイギシヨ,朝府町１５－１２,,愛知県稲沢市朝府町,217,217
491-0394,愛知県,アイチケン,一宮市,イチノミヤシ,萩原町萩原,アイコクアルファ　株式会社　一宮工場,アイコクアルフア　カブシキガイシヤ　イチノミヤコウジヨウ,萩原町萩原松山５３１－１０,,愛知県一宮市萩原町萩原,218,218
491-8506,愛知県,アイチケン,一宮市,イチノミヤシ,新生,愛知県西尾張県税事務所,アイチケンニシオワリケンゼイジムシヨ,新生２丁目２１番１２号,,愛知県一宮市新生,219,219
491-8688,愛知県,アイチケン,一宮市,イチノミヤシ,八幡,愛和産業　株式会社,アイワサンギヨウ　カブシキガイシヤ,八幡２丁目７－３,,愛知県一宮市八幡,220,220
491-0395,愛知県,アイチケン,一宮市,イチノミヤシ,萩原町高木,和泉化成　株式会社,イズミカセイ　カブシキガイシヤ,萩原町高木５０歩１－４,,愛知県一宮市萩原町高木,221,221
491-8611,愛知県,アイチケン,一宮市,イチノミヤシ,若竹,いちい信用金庫,イチイシンヨウキンコ,若竹３丁目２番２号,,愛知県一宮市若竹,222,222
491-8502,愛知県,アイチケン,一宮市,イチノミヤシ,栄,一宮　税務署,イチノミヤ　ゼイムシヨ,栄４丁目５－７,,愛知県一宮市栄,223,223
491-8509,愛知県,アイチケン,一宮市,イチノミヤシ,八幡,一宮公共職業安定所,イチノミヤコウキヨウシヨクギヨウアンテイジヨ,八幡４丁目８－７,,愛知県一宮市八幡,224,224
491-8501,愛知県,アイチケン,一宮市,イチノミヤシ,本町,一宮市役所,イチノミヤシヤクシヨ,本町２丁目５－６,,愛知県一宮市本町,225,225
494-8601,愛知県,アイチケン,一宮市,イチノミヤシ,東五城,一宮市役所　尾西庁舎,イチノミヤシヤクシヨ　ビサイチヨウシヤ,東五城備前１２,,愛知県一宮市東五城,226,226
491-8686,愛知県,アイチケン,一宮市,イチノミヤシ,栄,一宮商工会議所,イチノミヤシヨウコウカイギシヨ,栄４丁目２－１,,愛知県一宮市栄,227,227
491-8558,愛知県,アイチケン,一宮市,イチノミヤシ,文京,一宮市立市民病院,イチノミヤシリツシミンビヨウイン,文京２丁目２－２２,,愛知県一宮市文京,228,228
444-1192,愛知県,アイチケン,安城市,アンジョウシ,藤井町,アイシン・エイ・ダブリュ　株式会社,アイシン・エイ・ダブリユ　カブシキガイシヤ,藤井町高根１０,,愛知県安城市藤井町,229,229
446-8524,愛知県,アイチケン,安城市,アンジョウシ,三河安城町,アイシン精機　株式会社　安城工場,アイシンセイキ　カブシキガイシヤ　アンジヨウコウジヨウ,三河安城町１丁目１１番地２,,愛知県安城市三河安城町,230,230
446-8602,愛知県,アイチケン,安城市,アンジョウシ,安城町,愛知県　厚生農業協同組合連合会　安城更生病院,アイチケン　コウセイノウギヨウキヨウドウクミアイレンゴウカイ　アンジヨウコウセイビヨウイン,安城町東広畔２８,,愛知県安城市安城町,231,231
446-8506,愛知県,アイチケン,安城市,アンジョウシ,今本町,愛知県経済農業協同組合連合会　西三河センター,アイチケンケイザイノウギヨウキヨウドウクミアイレンゴウカイ　ニシミカワセンタ－,今本町東向山６番地の１,,愛知県安城市今本町,232,232
446-8508,愛知県,アイチケン,安城市,アンジョウシ,桜町,愛知県西三河県税事務所　安城県税センター,アイチケンニシミカワケンゼイジムシヨ　アンジヨウケンゼイセンタ－,桜町７番１０号,,愛知県安城市桜町,233,233
446-8601,愛知県,アイチケン,安城市,アンジョウシ,御幸本町,あいち中央農業　協同組合,アイチチユウオウノウギヨウ　キヨウドウクミアイ,御幸本町９－６,,愛知県安城市御幸本町,234,234
446-8635,愛知県,アイチケン,安城市,アンジョウシ,小堤町,安城学園高等学校,アンジヨウガクエンコウトウガツコウ,小堤町４丁目２５,,愛知県安城市小堤町,235,235
446-8526,愛知県,アイチケン,安城市,アンジョウシ,横山町,安城簡易裁判所,アンジヨウカンイサイバンシヨ,横山町毛賀知２４－２,,愛知県安城市横山町,236,236
446-8501,愛知県,アイチケン,安城市,アンジョウシ,桜町,安城市役所,アンジヨウシヤクシヨ,桜町１８－２３,,愛知県安城市桜町,237,237
446-8512,愛知県,アイチケン,安城市,アンジョウシ,桜町,安城商工会議所,アンジヨウシヨウコウカイギシヨ,桜町１６－１,,愛知県安城市桜町,238,238
446-8503,愛知県,アイチケン,安城市,アンジョウシ,篠目町,アンデン　株式会社,アンデン　カブシキガイシヤ,篠目町井山３,,愛知県安城市篠目町,239,239
444-1298,愛知県,アイチケン,安城市,アンジョウシ,和泉町,いずみ製菓　株式会社,イズミセイカ　カブシキガイシヤ,和泉町井ノ上３－１,,愛知県安城市和泉町,240,240
446-8550,愛知県,アイチケン,安城市,アンジョウシ,三河安城町,一般財団法人　杉浦地域医療振興財団,イツパンザイダンホウジン　スギウラチイキイリヨウシンコウザイダン,三河安城町１丁目８番地４,,愛知県安城市三河安城町,241,241
496-8555,愛知県,アイチケン,愛西市,アイサイシ,稲葉町,愛西市役所,アイサイシヤクシヨ,稲葉町米野３０８,,愛知県愛西市稲葉町,242,242
496-8601,愛知県,アイチケン,愛西市,アイサイシ,諏訪町,愛西市役所　佐織庁舎,アイサイシヤクシヨ　サオリチヨウシヤ,諏訪町池埋５００番地の１,,愛知県愛西市諏訪町,243,243
496-8633,愛知県,アイチケン,愛西市,アイサイシ,石田町,愛西市役所　立田庁舎,アイサイシヤクシヨ　タツタチヨウシヤ,石田町宮東６８番地,,愛知県愛西市石田町,244,244
496-8639,愛知県,アイチケン,愛西市,アイサイシ,江西町,愛西市役所　八開庁舎,アイサイシヤクシヨ　ハチカイチヨウシヤ,江西町大繩場１５１番地１,,愛知県愛西市江西町,245,245
496-8648,愛知県,アイチケン,愛西市,アイサイシ,江西町,海部農協　八開支店,アマノウキヨウ　ハチカイシテン,江西町川原８,,愛知県愛西市江西町,246,246
490-1296,愛知県,アイチケン,あま市,アマシ,乙之子,旭中部資材　株式会社,アサヒチユウブシザイ　カブシキカイシヤ,乙之子八反田１２,,愛知県あま市乙之子,247,247
490-1292,愛知県,アイチケン,あま市,アマシ,木田,あま市役所,アマシヤクシヨ,木田戌亥１８番地１,,愛知県あま市木田,248,248
497-8522,愛知県,アイチケン,あま市,アマシ,七宝町桂,あま市役所　七宝庁舎,アマシヤクシヨ　シツポウチヨウシヤ,七宝町桂城之堀１番地,,愛知県あま市七宝町桂,249,249
490-1198,愛知県,アイチケン,あま市,アマシ,甚目寺,あま市役所　甚目寺庁舎,アマシヤクシヨ　ジモクジチヨウシヤ,甚目寺二伴田７６番地,,愛知県あま市甚目寺,250,250
